Lesson,Tshivenda,English,Pronunciation
Greetings,Ndaa,Hello,n-DAH-ah
Greetings,Vho vuwa hani?,How are you?,voh VOO-wah HAH-nee
Greetings,Ndo takala,I am fine,ndo tah-KAH-lah
Greetings,Ro livhuwa,Thank you,roh LEE-voo-wah
Greetings,Ee,Yes,eh-eh
Greetings,Hai,No,hi
Greetings,U khou tou tshimbila hani?,How are things going?,oo khoh too cheem-BEE-lah HAH-nee
Greetings,Ndo livhuwa nga maanḓa,Thank you very much,ndo lee-VOO-wah ngah MAHN-dah
Greetings,Vha fare zwavhuḓi,Take care,vah fah-reh zwa-VOO-dee
Greetings,Ndo ni vhona nga murahu,See you later,ndo nee VOH-nah ngah moo-RAH-hoo
Introductions,Dzina ḽaṋu ndi nnyi?,What is your name?,dzee-nah lyah-noo ndee n-nee
Introductions,Dzina ḽanga ndi...,My name is...,dzee-nah lyahngah ndee...
Introductions,Ndo takala u ni pozwa,Nice to meet you,ndo tah-KAH-lah oo nee poh-ZWAH
Introductions,Ni bva ngafhi?,Where are you from?,nee bvah ngah-FEE
Introductions,Ndi bva...,I am from...,ndee bvah...
Daily Use,Ndo ni vhona nga murahu,See you later,ndo nee VOH-nah ngah moo-RAH-hoo
Daily Use,Ndi khou humbela maḓi,Please may I have water,ndee khoh HOOM-beh-lah mah-DEE
Daily Use,Ndi khou humbela thuso,I need help,ndee khoh HOOM-beh-lah TOO-so
Daily Use,Ndi khou humbela pfarelo,Sorry / Excuse me,ndee khoh HOOM-beh-lah pfah-REH-loh
Daily Use,Ro livhuwa nga maanḓa,Thank you very much,roh lee-VOO-wah ngah MAHN-dah
Numbers,Ṱhukhu ya u thoma,One,took-hoo yah oo TOH-mah
Numbers,Mbili,Two,mm-BEE-lee
Numbers,Ṱhathu,Three,tah-TOO
Numbers,Nai,Four,nah-ee
Numbers,Ṱhanu,Five,tah-NOO
Travel & Directions,Ndi khou humbela bisi,I want a bus,ndee khoh HOOM-beh-lah BEE-see
Travel & Directions,Hune ha vha siaḓa ndi ngafhi?,Where is the toilet?,hoo-neh hah vah see-AH-dah ndee ngah-FEE
Travel & Directions,Ndo ḽahlekile,I am lost,ndo lah-HLEH-leh
Travel & Directions,Ndi khou humbela khofi,I would like coffee,ndee khoh HOOM-beh-lah KHOH-fee
Travel & Directions,Zwo ḓura hani?,How much does it cost?,zwoh DOO-rah HAH-nee
Food & Shopping,Ndi khou humbela zwiḽiwa,I want food,ndee khoh HOOM-beh-lah shwee-LEE-wah
Food & Shopping,Zwo ḓura hani?,How much is this?,zwoh DOO-rah HAH-nee
Food & Shopping,Zwo ḓura nga maanḓa,It’s expensive,zwoh DOO-rah ngah MAHN-dah
Food & Shopping,Zwo nakisa,It’s nice/Delicious,zwoh nah-KEE-sah
Food & Shopping,Ndo ḽa nga maanḓa,I am full,ndo lah ngah MAHN-dah
Time & Day,Namusi,Today,nah-MOO-see
Time & Day,Matshelo,Tomorrow,mah-CHEH-loh
Time & Day,Zwino,Now,zwee-noh
Time & Day,Mahaḓa,Yesterday,mah-HAH-dah
Time & Day,Madekwana,Evening,mah-deh-KWAH-nah
Basic Survival,Ndi khou humbela dokotela,I need a doctor,ndee khoh HOOM-beh-lah doh-koh-TEH-lah
Basic Survival,Ndi khou lwala,I am sick,ndee khoh LWAH-lah
Basic Survival,Ndi na ndala,I am hungry,ndee nah ndah-lah
Basic Survival,Ndi na nyota,I am thirsty,ndee nah nyoh-tah
Basic Survival,Ndi khou ṱungufhala,I am worried,ndee khoh TOON-goo-fah-lah
Social/Friendly,Vha fare zwavhuḓi,Take care,vah fah-reh zwa-VOO-dee
Social/Friendly,Ndi a ni funa,I love you,ndee ah nee FOO-nah
Social/Friendly,Ni fare zwavhuḓi,Stay well,nee fah-reh zwa-VOO-dee
Social/Friendly,Ni na duvha lavhudi,Have a nice day,nee nah DOO-vhah lah-VOO-dee
Social/Friendly,Ndi ni takalela duvha lavhudi,Good day,ndee nee tah-kah-LEH-lah DOO-vhah lah-VOO-dee
